"Date","Local Route","Light Rail","Peak Service","Rapid Route","School","Other"
"27/11/2023","23,950","13,329","451","27,037","6,674","198"
"31/08/2022","21,903","11,190","271","23,485","5,669","242"
"28/06/2020","2,303","3,510","0","5,301","0","11"
"05/05/2022","21,042","11,447","293","23,196","6,034","211"
"01/07/2020","13,421","7,790","162","15,784","3,955","37"
"04/04/2022","20,554","10,280","301","21,006","6,272","186"
"08/09/2019","5,224","5,996","0","8,089","0","12"
"11/03/2020","28,676","16,275","536","37,589","7,083","78"
"10/10/2022","21,832","12,061","306","24,033","5,515","321"
"04/01/2020","3,041","5,788","0","6,161","0","11"
"10/08/2020","16,931","7,647","191","16,304","5,829","109"
"03/11/2019","3,631","4,680","0","7,801","0","10"
"04/06/2024","26,476","14,249","395","28,030","7,819","303"
"23/03/2022","21,014","10,954","265","22,806","5,794","152"
"06/08/2021","23,009","12,443","284","23,706","6,023","155"
"05/04/2021","3,181","3,949","0","6,597","0","38"
"24/04/2021","4,639","5,511","0","8,941","0","57"
